country,date,words
BA,2001-03-30,9471
BA,2001-04-19,23689
BA,2001-04-25,35890
BA,2001-05-17,21881
BA,2001-05-23,28511
BA,2001-06-06,36075
BA,2001-06-14,36221
BA,2001-06-22,18219
BA,2001-06-28,34497
BA,2001-07-06,21791
BA,2001-07-18,43748
BA,2001-07-24,27444
BA,2001-08-21,20244
BA,2001-08-23,9834
BA,2001-10-09,32725
BA,2001-10-23,52490
BA,2001-10-24,50148
BA,2001-11-20,7552
BA,2001-11-29,28378
BA,2001-11-30,52777
BA,2001-12-13,29405
BA,2001-12-20,73885
BA,2001-12-24,847
BA,2002-01-16,26525
BA,2002-01-17,25826
BA,2002-02-12,44470
BA,2002-02-21,64350
BA,2002-03-12,52030
BA,2002-03-15,22655
BA,2002-03-21,37819
BA,2002-04-17,41120
BA,2002-04-29,22889
BA,2002-05-23,50630
BA,2002-05-27,24517
BA,2002-05-29,28475
BA,2002-05-31,14456
BA,2002-06-20,51138
BA,2002-06-25,27978
BA,2002-07-03,11656
BA,2002-07-09,17594
BA,2002-07-16,27995
BA,2002-07-18,40099
BA,2002-07-26,1097
BA,2002-08-01,17676
BA,2002-09-05,23341
BA,2002-09-16,19507
BA,2002-09-30,15519
BA,2002-10-01,3963
BA,2002-12-03,6323
BA,2002-12-09,1782
BA,2002-12-11,27429
BA,2002-12-17,24684
BA,2002-12-23,34478
BA,2003-01-03,43700
BA,2003-01-13,46352
BA,2003-01-31,2518
BA,2003-02-04,53405
BA,2003-02-13,12004
BA,2003-02-25,29635
BA,2003-03-04,31642
BA,2003-03-05,25166
BA,2003-03-28,24730
BA,2003-04-01,9586
BA,2003-04-09,49010
BA,2003-04-10,2732
BA,2003-04-22,38382
BA,2003-04-23,36339
BA,2003-05-13,31580
BA,2003-05-21,21831
BA,2003-06-06,36305
BA,2003-06-18,20868
BA,2003-06-27,88134
BA,2003-06-30,3354
BA,2003-07-17,8488
BA,2003-07-18,26843
BA,2003-08-07,47117
BA,2003-09-02,21262
BA,2003-09-10,61806
BA,2003-09-24,22082
BA,2003-09-30,44532
BA,2003-10-13,61978
BA,2003-10-23,19060
BA,2003-10-29,30516
BA,2003-11-07,61898
BA,2003-11-20,38389
BA,2003-11-27,25087
BA,2003-12-01,1296
BA,2003-12-10,16079
BA,2003-12-18,28691
BA,2003-12-22,5813
BA,2003-12-29,26953
BA,2004-01-22,27767
BA,2004-01-28,27138
BA,2004-02-12,24679
BA,2004-02-24,51221
BA,2004-02-26,20193
BA,2004-03-05,25662
BA,2004-03-15,30789
BA,2004-03-31,23210
BA,2004-04-06,11904
BA,2004-04-14,39323
BA,2004-04-15,12623
BA,2004-04-23,21080
BA,2004-04-26,31069
BA,2004-05-04,114954
BA,2004-05-11,56911
BA,2004-05-21,85053
BA,2004-06-09,34586
BA,2004-06-18,79896
BA,2004-06-25,2080
BA,2004-06-29,45701
BA,2004-07-14,79869
BA,2004-07-16,24323
BA,2004-07-27,40188
BA,2004-07-29,45572
BA,2004-09-07,57679
BA,2004-09-09,26078
BA,2004-09-23,12600
BA,2004-09-27,9010
BA,2004-09-30,1666
BA,2004-10-12,30889
BA,2004-10-21,10579
BA,2004-11-04,40049
BA,2004-11-23,23554
